"Timestamp","Username","Name","Course content [Learning objectives were clear]","Course content [Course content was organized and well planned]","Course content [Course workload was appropriate]","What aspects of this course were most useful or valuable?","How would you improve this course?"
"2020/03/10 9:50:26 AM GMT+8","thisisraj@gmail.com","Deva Raj","Agree","Strongly agree","Disagree","nA","I would improve it by adding air conditioning, as well as additional free condiments such as tea and coffee. "
"2020/03/10 9:51:46 AM GMT+8","yarnern@gmail.com","Yarn Ern","Disagree","Strongly disagree","Disagree","NA","i think you should improve it by hiring more trainers to go around and assist the people"
"2020/03/10 9:52:00 AM GMT+8","lol@gmail.com","Wong","Agree","Agree","Agree","I think that this course was good in teaching me a lot of stuff.It was very interesting and engaging.","Make the course more longer as the course was quite short"
"2020/03/10 9:56:11 AM GMT+8","lee@gmail.com","⠀","Strongly disagree","Strongly disagree","Strongly disagree","⠀","⠀"
"2020/03/11 9:58:28 AM GMT+8","christabel_lee@s2017.sst.edu.sg","Christabel","Strongly agree","Disagree","Agree","Um It was fun maybe ok actually not.","I will not go for it."
"2020/03/11 9:58:32 AM GMT+8","kan_onn_kit@s2017.sst.edu.sg","Kan Onn Kit","Strongly agree","Strongly disagree","Strongly agree","Kivy introduction","Make Kivy introduction shorter; Make content of slides more concise; Allow for moar time for the live demo"
"2020/03/11 9:58:52 AM GMT+8","1@djd.com","Random","Strongly disagree","Strongly disagree","Agree","Nothing Absolutely nothing","no way"
"2020/03/11 9:58:54 AM GMT+8","hello@world.com","69420","Strongly disagree","Strongly disagree","Strongly disagree","Nothing was useful to me","I would cancel it"
"2020/03/11 9:58:57 AM GMT+8","im_a_clown@circus.com","clowning 🤡","Strongly disagree","Strongly disagree","Strongly disagree","«‘“π“‘«‘“πºøª•🤡¶§∞¢£¢∞§¶•ªºπ“‘09876543tyuiop[\][fflkpqw∑´ √ß†∂ˆ©¨ø¶†¥¥ç´∆ß∂Ω√Ø🤡©ÒÁÔıÍÎÇ≈¨√˚ÁÔÍÎÓk w qp3q oweo se oijario'aernjk lop🤡🤡","1 lmkt23kp🤡'or«“‘π“øπªˆ•¨ª¶¥•§¶∞§¢🤡§∞¶•ªº–S ADFVXH DJKSM,EVUDJπ“‘«“‘πø˚ˆ∆¨˙¥©†ƒç∂ƒ√🤡©∫˙˜∆∆˜ ∫˙∫¨ˆ∆˙∫ ß√å√©©ç¨˙ ∫ßå∂¥¥ª•∑´√∫˙∂🤡ßˆ¨πª•ƒ¥™∑¶©´√∫ˆ˙🤡"
"2020/03/11 9:59:06 AM GMT+8","lmaoeksdee@gmail.com","Joshua Foo","Strongly disagree","Disagree","Neutral","lsjbnkafjndbljkdbfkldlkjbalkjdngkjldsbgwqo4ithwhtgeiouhgoq8ygwe8ugeuihenrjeznrb","!@#$%^&*()_+-={}[]:"";'<>,.?/|\~`"
"2020/03/11 9:59:08 AM GMT+8","nihao@kungfupanda.com","Po","Agree","Neutral","Agree","There are no accidents","Dragon warrior"
"2020/03/11 9:59:27 AM GMT+8","chua_hao_ren@s2017.sst.edu.sg","Chua Hao Ren","Strongly agree","Strongly agree","Strongly agree","Joshua is my favourite person to ever exists","kinky"
"2020/03/11 9:59:28 AM GMT+8","hi@gmail.com","hi","Strongly disagree","Disagree","Agree","我在这里等你回来了？我们都要好好休息哈！这么早起来就好好的睡吧……在一起的时候一定是最爱用了这个话题真的不知道怎么样的😨😰😨😐🤫🤯👻💩👹😼🤝👎","🤲🏾😾🎃🤖👻☠️☠️🤢🤕😈🤢🤤fiscal dedicó hdiansianchekzncbjss"
"2020/03/11 9:59:49 AM GMT+8","Elden@gmail.com","Elden","Strongly disagree","Strongly agree","Disagree","NA","oop"
